"effect","term","estimate","std.error","df","statistic","p.value","microbe","model_type","padj"
"fixed","irAE.sample",-0.285065908557903,0.395350513767951,45,-0.721046005077967,0.474610760874301,"o__OFGB4806","ZIGMM",1
"fixed","irAE.sample",-0.498906745189853,1.30014238177239,45,-0.383732391301426,0.702983926775461,"o__OFGB343","ZIGMM",1
"fixed","irAE.sample",0.177896344494482,0.35507986017607,45,0.50100375843978,0.618810438439799,"o__OFGB1354","ZIGMM",1
"fixed","irAE.sample",-0.0458581621401096,0.0603601636930153,45,-0.759742176534491,0.451370693967627,"o__OFGB1458","ZIGMM",1
"fixed","irAE.sample",-0.0704483699037144,0.23990211531749,45,-0.293654642479838,0.770371961639991,"o__OFGB4405","ZIGMM",1
"fixed","irAE.sample",-0.093907153004153,0.0704636670872548,45,-1.33270317719724,0.189338224779877,"o__OFGB3062","ZIGMM",1
"fixed","irAE.sample",-1.74279660118118,0.739235278207994,45,-2.35756687019315,0.0228035133280761,"o__OFGB2982","ZIGMM",1
"fixed","irAE.sample",-0.00278573880559512,0.00704425579583648,45,-0.395462471314803,0.694370208439065,"o__OFGB2880","ZIGMM",1
"fixed","irAE.sample",-0.0885476642718985,0.293612627403578,45,-0.301579891351837,0.764361646676145,"o__OFGB38642","ZIGMM",1
"fixed","irAE.sample",0.00745340579273401,0.0141182912835246,45,0.527925486381755,0.600144811633926,"o__OFGB3023","ZIGMM",1
"fixed","irAE.sample",0.0429447686432184,0.0290917229080309,45,1.47618512588552,0.14685810452885,"o__OFGB3070","ZIGMM",1
"fixed","irAE.sample",-0.0316684263884661,0.211938664779776,45,-0.149422600266792,0.881887855272454,"o__OFGB3054","ZIGMM",1
"fixed","irAE.sample",-0.00496960833389766,0.00625487238722279,45,-0.794517941572937,0.431064360493967,"o__OFGB1258","ZIGMM",1
"fixed","irAE.sample",-0.0254028703676063,0.0637124856933411,45,-0.398711023297296,0.69199184534694,"o__OFGB72924","ZIGMM",1
"fixed","irAE.sample",-0.0066727352769224,0.00678457536479213,45,-0.983515536071702,0.330612385141366,"o__OFGB1473","ZIGMM",1
"fixed","irAE.sample",-0.00110008820537729,0.00220451981818361,45,-0.499014885828378,0.620199727973894,"o__OFGB2881","ZIGMM",1
"fixed","irAE.sample",0.00735719378515285,0.0149987595816572,45,0.490520149022882,0.626149302743712,"o__OFGB2834","ZIGMM",1
"fixed","irAE.sample",-0.03633168408071,0.243190935890141,45,-0.149395716364702,0.88190894475518,"o__Candidatus_Borkfalkiales","ZIGMM",1
"fixed","irAE.sample",-0.0224297715728219,0.0405754279189254,45,-0.552791990700363,0.583141618306222,"o__OFGB3038","ZIGMM",1
"fixed","irAE.sample",-0.0185321904530195,0.168488452056218,45,-0.109990864221579,0.912905687432768,"o__OFGB79294","ZIGMM",1
"fixed","irAE.sample",0.00088749544082834,0.00313669297168271,45,0.282939850613506,0.778520449185035,"o__OFGB1211","ZIGMM",1
"fixed","irAE.sample",-0.189125774675053,0.192944592777843,45,-0.980207695650808,0.332224287617101,"o__OFGB1227","ZIGMM",1
"fixed","irAE.sample",0.00474930872740272,0.00213658946079339,45,2.22284571488953,0.0312935765093105,"o__OFGB2954","ZIGMM",1
"fixed","irAE.sample",0.0148313729711786,0.00525850463607,45,2.82045448233417,0.00710892100213263,"o__Pasteurellales","ZIGMM",1
"fixed","irAE.sample",-0.00153367160757651,0.00209767102822749,45,-0.73113066202399,0.468489469576224,"o__OFGB79291","ZIGMM",1
"fixed","irAE.sample",-0.00173841270388527,0.00193432457613046,45,-0.89871820134907,0.373586644688269,"o__OFGB83839","ZIGMM",1
"fixed","irAE.sample",-0.000194149374487831,0.0011350465934494,45,-0.171049695764306,0.864951512392264,"o__OFGB32970","ZIGMM",1
